;marca;preço
214;Bateria Para Notebook Apple Macbook Air 11.6Polegadas A1370 - Late 2010 | 7.3 V;R$ 381,83
215;Fonte Carregador Chicony Cpa 09-002 P - A040r007l 19v 2.1a;R$ 54,94
216;Bateria Para Notebook Lenovo U41-70 | Preto 3500 Mah;R$ 187,98
217;Bateria Para Notebook Hp Part Number Vv09xl | Preto 5600 Mah;R$ 265,58
218;Bateria Para Notebook Acer Aspire 5750-6481 | Preto 6600 Mah;R$ 275,37
219;Bateria Para Notebook Lenovo S41-70 | Preto 3500 Mah;R$ 187,98
220;Bateria Para Notebook Samsung R429 | 4000 Mah;R$ 322,98
221;Bateria Para Notebook Samsung Part Number Aa-pb9mc6b | 4000 Mah 10.8 V;R$ 322,98
222;Bateria Para Notebook Samsung Nt Series Nt-r430 | 4000 Mah 10.8 V;R$ 322,98
223;Bateria Para Notebook Samsung R Series R439 | 4000 Mah 10.8 V;R$ 322,98
224;Bateria Para Notebook Samsung Nt Series Nt-q230 | 4000 Mah 10.8 V;R$ 322,98
225;Bateria Para Notebook Samsung Np Series Np-r466 | 4000 Mah 10.8 V;R$ 322,98
226;Bateria Para Notebook Samsung R Series R538 | 4000 Mah 10.8 V;R$ 322,98
227;Bateria Para Notebook Samsung Rv Series Rv720-s03au | 4000 Mah 10.8 V;R$ 322,98
228;Bateria Para Notebook Samsung R Series R464 | 4000 Mah 10.8 V;R$ 322,98
229;Bateria Para Notebook Samsung R Series R505 | 4000 Mah 10.8 V;R$ 322,98
230;Bateria Para Notebook Samsung Np Series Np550p5c-ad2br | 4000 Mah 10.8 V;R$ 322,98
231;Bateria Para Notebook Samsung Rv415 | 4000 Mah;R$ 322,98
232;Bateria Para Notebook Acer Travelmate B113-m-6460 | 6 Células;R$ 97,76
233;Bateria Para Notebook Acer Part Number Kt.00407.002 | 6 Células;R$ 97,76
234;Bateria Para Notebook Hp 486766-001 Hstnn-db75 Hstnn-ib75 | 8 Células;R$ 147,41
235;Bateria Para Notebook Acer Aspire One Ao756-b8471g25n | 6 Células;R$ 97,76
236;Bateria Para Notebook Acer 4551-4315 | 6000 Mah;R$ 206,55
237;Bateria Para Notebook Acer Aspire One 765 | 6 Células;R$ 97,76
238;Bateria Para Notebook Hp Dv7-3180us | 8 Células;R$ 147,41
239;Bateria Para Notebook Acer E732-382g50mn | 6000 Mah;R$ 206,55
240;Bateria Para Notebook Acer Aspire 4332,Preto;R$ 209,29
241;Bateria Para Notebook Acer Aspire 3 A315-23, 2200 Mah 11.4 V;R$ 213,20
242;Bateria Para Notebook Acer 5315, 5920, 5715z, 6920g-814g32bn,6 Células;R$ 182,79
243;Tela 15.6 LED Para Notebook Acer Aspire E1-572-6 Br471, E1-510-2606;R$ 339,82
244;Tela 14 Polegadas LED, Para Notebook Itautec W7540 Lp140wh4 Tl A1 - Brilhante;R$ 265,28
245;Tela 15.6 Polegadas LED, Para Notebook Part Number N156bge-L21 - Brilhante;R$ 300,13
246;Bateria Para Notebook Samsung R Series R466 | 6000 Mah 10.8 V;R$ 186,21
247;Bateria Para Notebook Samsung Np Series Np-rv511-ad1br | 6000 Mah 10.8 V;R$ 186,21
248;Bateria Para Notebook Samsung Np Series Np300v4a | 6000 Mah 10.8 V;R$ 186,21
249;Bateria Para Notebook Samsung Np Series Np270e5j-xd1br | 6000 Mah 10.8 V;R$ 186,21
250;Bateria Para Notebook Samsung R Series R505 | 6000 Mah 10.8 V;R$ 186,21
251;Bateria Para Notebook Samsung Np Series Np270e4e-kd7br | 6000 Mah 10.8 V;R$ 186,21
252;Bateria Para Notebook Samsung Q Series Q528 | 6000 Mah 10.8 V;R$ 186,21
253;Bateria Para Notebook Samsung R Series R467 | 6000 Mah 10.8 V;R$ 186,21
254;Bateria Para Notebook Samsung Np-r580 | 6000 Mah;R$ 186,21
255;Bateria Para Notebook Acer 7551-3416 | 6000 Mah;R$ 206,55
256;Bateria Para Notebook Samsung R Series R540-ja09 | 6000 Mah 10.8 V;R$ 186,21
257;Bateria Para Notebook Samsung Rc Series Rc720h | 6000 Mah 10.8 V;R$ 186,21
